cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.048704,-3.705407,1.593712,0.106703,-3.783421,-21.093370,15.218597,205.879303,197.372803,0.996101,-3.705955,-3.705407,-1.343442,2.361965
1,R7,1.003470,6.101606,1.593712,6.663065,6.086870,-30.750580,12.929502,205.274292,235.568176,0.979350,5.878725,6.101606,-7.918334,-14.019940
2,R8,1.027532,-6.790070,1.593712,4.298620,0.201489,-25.343380,11.514692,186.297028,202.324921,0.000000,-6.004708,-6.790070,6.215139,13.005208
3,L1,1.007938,2.549229,1.593712,4.376418,2.587324,-27.515417,12.362176,208.587540,211.503067,0.986794,2.552694,2.549229,1.455158,-1.094071
4,L2,1.009220,-44.809902,1.593712,1.711039,0.326634,-25.075001,12.761924,197.587601,211.333908,0.090085,-55.418983,-44.809902,-45.984341,-1.174438
5,L3,0.963125,-10.282529,1.593712,2.133865,-4.201742,-20.389591,11.729323,204.086380,192.177551,1.000000,-4.201743,-10.282529,-10.483645,-0.201117
6,L4,0.978297,-2.369594,1.593712,0.731231,-2.348811,-22.425547,11.461606,209.649124,210.858826,0.985645,-2.439390,-2.369594,-2.414580,-0.044986
7,L5,0.957848,-64.599602,1.593712,0.562598,-1.792743,-23.487839,13.183815,193.461395,221.774109,0.643720,-47.348965,-64.599602,-60.594513,4.005089
8,Mi1,0.950831,-97.661507,1.593712,0.100011,-3.068706,-22.360201,11.835416,200.248978,197.117920,0.000753,-97.636475,-97.661507,-97.308716,0.352791
9,Tm3,1.002857,-18.709639,1.593712,5.112768,-0.190686,-24.874142,14.749862,209.354462,198.994720,0.275352,-16.363667,-18.709639,-14.038692,4.670947
10,Mi4,1.030892,-6.257812,1.593712,3.116335,-4.609860,-20.502792,100.000000,233.591522,246.826859,1.000000,-4.609860,-6.257812,-16.906380,-10.648568
11,Mi9,0.978968,-0.775031,1.593712,3.721441,-4.242943,-21.523874,22.711752,199.900208,204.630997,0.844131,0.452968,-0.775031,-2.231355,-1.456323
12,T4a,0.929990,1.461845,1.593712,0.314609,2.413907,-27.165010,21.445457,246.776093,207.617035,0.583034,1.913370,1.461845,3.831979,2.370134
13,T4b,0.868991,-1.690541,1.593712,3.364080,-1.743000,-28.544214,20.565630,250.523392,204.630981,0.748506,-1.455952,-1.690541,0.735390,2.425931
