,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,2.028498,,,0.109337,2.377155,2.828006,6.638277,,,,,,,,,,,,,,,,,,0.103192,,,,7.820390,0.388219,,,,0.100000,,,,,,,,,,,,,,,,,,,,,,
R7,,,8.348765,6.489331,,0.552687,,,4.698440,,5.036987,0.100000,,,,,,,,,,,,,,,,,,1.340942,8.940976,,,0.132140,1.050993,,,0.569052,0.877104,,4.578794,,2.084616,10.000000,4.384976,6.815228,9.567577,,,,,,,,,
R8,,8.935266,10.000000,3.846160,0.140176,10.000000,,8.766924,2.974565,,9.130871,3.665307,,,,,,,,,,,,,4.862817,,,,0.224986,8.497681,7.012956,8.209033,,,2.036757,,0.100000,2.479780,0.684146,,3.440170,1.347376,,,1.966872,0.100000,,0.807779,,10.000000,,,,,0.985206,
L1,1.969838,2.852536,0.646561,0.100000,10.000000,6.288600,9.995072,4.238395,4.353682,1.952117,0.353622,,,,,,4.234858,0.100000,,,,,,,2.851047,9.999985,9.998096,,0.281251,2.790269,,5.760204,,2.083937,,,,0.100000,3.188136,,,,2.705792,,,,,,,,,8.197175,,,,
L2,0.100123,,0.100000,7.109215,0.100337,0.100000,2.712855,0.100407,0.100000,0.125913,0.144397,9.988480,,,,,0.100000,0.100000,2.076477,,,,,,0.188884,9.999704,3.374218,,2.008873,7.882249,,,,2.796900,,6.084187,0.100528,,2.051900,,2.369015,,,,0.100010,,,,,,,0.169495,,,,
L3,,0.100000,10.000000,8.917285,8.705937,,,,0.100005,,1.990181,2.044752,,,,,7.552250,4.936784,5.495414,4.722384,,,,,1.685302,,,,2.033170,6.171872,0.155024,,4.185814,,8.172774,3.820300,,4.308081,3.859917,1.409422,3.914320,0.981130,0.179119,0.100000,0.456957,10.000000,0.100000,0.126401,,,,,0.970711,,10.000000,0.193641
L4,0.100000,,,8.670424,0.105128,0.100000,0.100034,0.102616,0.100000,,,3.272258,,,,,3.984706,0.100000,1.110518,9.190914,,,,,,1.637425,,,,2.527498,5.080586,0.442844,,,,0.117077,0.100000,,,,,,3.737661,,,,,,,,,1.898997,,,,
L5,,,,3.762553,8.971897,,,6.258727,0.100000,3.101164,1.917711,9.999976,,,,,8.224338,2.332307,1.254120,,,,,,9.994719,0.100161,0.101368,,5.958867,0.100006,0.783764,0.430134,,9.999914,5.317551,3.251468,5.350998,0.587739,1.890896,,7.448511,8.117216,0.100014,,8.234574,,,,3.253687,6.269314,4.647915,1.404752,,2.355621,,
Mi1,,4.628559,8.984989,1.974855,0.736010,,,0.100010,0.100000,2.175713,4.995174,4.608078,0.100000,0.100000,1.236241,1.641896,0.100000,0.915367,0.107139,,,,,,1.244215,0.323779,5.213511,1.191798,9.999741,1.454184,0.100000,1.839408,1.986074,,4.863967,0.889058,6.620565,0.578880,10.000000,,10.000000,9.999448,5.424851,,,0.104629,,1.812208,0.974651,10.000000,1.506933,4.847560,1.848940,1.763228,9.206470,10.000000
Tm3,,,,2.122554,0.100000,,,,0.100000,10.000000,10.000000,0.100000,2.856793,3.343256,2.792280,1.594677,,,3.748521,,,0.997590,,1.015900,,0.105956,0.113571,4.875958,8.867341,7.224070,0.150025,0.195633,,,5.696315,2.194998,6.356605,,,1.475238,,,0.160981,,,,10.000000,,8.119953,6.923747,1.941083,2.829891,,8.082715,,
