cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.048704,-1.256777,2.043097,0.100000,-3.604096,-21.272705,15.183079,212.769135,188.477890,0.882429,-1.269191,-1.256777,1.317839,2.574616
1,R7,1.003470,9.754286,2.043097,5.902494,9.943269,-34.618511,25.248283,200.942245,197.113190,1.000000,9.943268,9.754286,9.757835,0.003550
2,R8,1.027532,-14.324230,2.043097,3.938662,-6.650716,-18.491211,11.923837,185.868637,202.533890,0.000000,-14.411709,-14.324230,-10.120314,4.203917
3,L1,1.007938,2.429310,2.043097,4.108355,2.398141,-27.326231,11.652585,206.297607,212.739944,1.000000,2.398141,2.429310,2.170480,-0.258830
4,L2,1.009220,-43.682690,2.043097,1.363278,0.036542,-24.785011,11.709994,195.382812,208.933090,0.232059,-48.211792,-43.682690,-43.801125,-0.118435
5,L3,0.963125,-20.086391,2.043097,2.450381,-3.370506,-21.058683,10.000000,205.030991,192.251648,0.299597,-18.595991,-20.086391,-20.108868,-0.022476
6,L4,0.978297,-2.173613,2.043097,0.924738,-2.183187,-22.591154,11.972108,210.050720,206.096375,0.999587,-2.183244,-2.173613,-2.200259,-0.026646
7,L5,0.957848,-98.979218,2.043097,0.614737,-1.825024,-23.455469,13.531374,192.929169,221.710861,0.000926,-99.024857,-98.979218,-98.962936,0.016281
8,Mi1,0.950831,-98.069687,2.043097,0.172688,-2.863122,-22.568727,11.627367,200.696213,194.509018,0.000091,-98.063461,-98.069687,-98.058296,0.011391
9,Tm3,1.002857,-34.538963,2.043097,2.695653,-1.819429,-23.271608,17.947191,210.727875,198.066162,0.278994,-34.570251,-34.538963,-33.327099,1.211864
10,Mi4,1.030892,-7.076604,2.043097,4.189119,-1.652672,-23.681980,100.000000,234.201111,226.270721,0.972286,-1.544091,-7.076604,-8.652575,-1.575972
11,Mi9,0.978968,-3.107833,2.043097,4.525617,-7.817808,-18.162161,29.351034,193.576599,225.781540,1.000000,-7.817809,-3.107833,-5.413876,-2.306043
12,T4a,0.929990,-14.331026,2.043097,5.295103,-2.868928,-22.192900,18.079937,223.835938,174.060165,0.022124,-12.839504,-14.331026,-9.916136,4.414890
13,T4b,0.868991,-13.796700,2.043097,5.573716,-1.419112,-29.756346,23.927689,239.538864,184.768280,0.349546,-10.509988,-13.796700,-9.912973,3.883726
14,T4c,1.272710,0.712148,2.043097,3.439823,0.425311,-25.555910,14.316914,183.461792,234.125732,0.779367,0.583670,0.712148,0.774278,0.062130
15,T4d,0.892569,13.462918,2.043097,8.008892,14.920013,-40.152531,19.073509,203.122711,201.334900,0.427585,15.136275,13.462918,14.015381,0.552463
16,Tm1,0.962022,-13.744022,2.043097,1.000285,-1.008403,-24.220312,20.567295,182.372849,216.814346,0.705220,-14.374816,-13.744022,-13.461106,0.282916
17,Tm2,1.046649,-0.759418,2.043097,0.111580,-1.630737,-23.686003,11.975471,178.802200,212.725510,0.948088,-2.492057,-0.759418,-0.849594,-0.090176
18,Tm4,1.013793,-30.967476,2.043097,6.235666,4.718105,-29.089365,10.000000,207.725403,191.267807,0.000000,-31.280447,-30.967476,-29.596138,1.371338
19,Tm9,1.004878,26.715614,2.043097,6.221589,-2.482578,-22.472778,17.313990,210.455780,223.634018,0.485510,22.046040,26.715614,25.061680,-1.653934
