,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.107236,,,1.787473,1.989958,0.100000,0.238607,,,,,,,,,,,,,,,,,,2.976726,,,,6.028858,0.207901,,,,1.473015,,,,,,,,,,,,,,,,,,,,,,
R7,,,2.299535,1.701547,,0.100000,,,0.569568,,4.826776,7.232506,,,,,,,,,,,,,,,,,,0.101363,1.357804,,,0.100000,0.100000,,,6.174812,0.100000,,4.322587,,2.700544,5.920869,6.629621,0.100000,0.100000,,,,,,,,,
R8,,0.374728,0.100000,4.063410,5.658920,0.100000,,9.688129,0.100000,,6.476533,1.124433,,,,,,,,,,,,,2.430458,,,,5.934891,5.642194,5.311445,1.593728,,,6.472559,,0.100000,6.470223,0.100000,,4.280243,2.716934,,,2.399313,0.100000,,0.176856,,7.221670,,,,,0.966289,
L1,5.423540,0.100000,10.000000,0.100000,1.251443,3.272858,0.387139,2.406685,3.449203,1.405555,4.061893,,,,,,0.634290,1.530906,,,,,,,2.889746,5.691029,0.100000,,0.100000,0.159049,,0.100402,,0.115052,,,,0.100000,0.100000,,,,2.282829,,,,,,,,,7.665038,,,,
L2,0.845722,,0.146664,6.453468,6.738226,1.191978,2.295937,1.081337,2.351161,0.100000,0.293981,9.067697,,,,,0.490798,0.100000,4.980650,,,,,,1.177948,0.100992,3.370764,,2.175571,0.160295,,,,2.529732,,2.117599,0.310790,,4.095534,,6.273070,,,,0.100078,,,,,,,0.727377,,,,
L3,,2.419282,9.779680,4.078337,5.000911,,,,0.100000,,1.943883,0.124568,,,,,0.459116,0.100000,3.440791,3.604330,,,,,1.538420,,,,1.552583,1.761627,0.585081,,10.000000,,8.190992,4.103664,,3.084415,8.091043,0.108298,2.765474,1.026827,0.100000,0.100000,1.063902,7.515792,0.279611,0.275571,,,,,1.038384,,0.293658,2.775081
L4,0.659387,,,4.210646,0.105557,1.288828,0.357314,2.942754,0.100000,,,0.100000,,,,,2.264067,0.441837,1.128212,0.100000,,,,,,6.753194,,,,0.193426,0.100000,2.765810,,,,1.494898,3.086848,,,,,,6.496099,,,,,,,,,4.825584,,,,
L5,,,,2.866987,1.687817,,,0.100000,1.114399,0.419566,0.100000,10.000000,,,,,0.100000,0.788196,5.820381,,,,,,2.938286,2.860153,10.000000,,0.100000,1.528404,2.865738,1.372416,,3.129190,0.100000,0.221888,0.100000,1.403892,0.100864,,9.991145,2.566315,0.100000,,2.691429,,,,5.316001,0.161725,4.786421,1.090078,,3.131322,,
Mi1,,10.000000,0.100000,0.100000,0.100334,,,0.260749,0.100000,5.638334,0.100000,0.107886,0.709143,0.810054,6.010722,0.100000,8.307058,0.187991,0.100000,,,,,,1.994142,3.490771,7.220572,9.936502,9.599039,7.697214,0.125789,0.100000,7.836906,,0.100000,3.786423,1.545478,4.156232,1.979544,,0.100000,6.292597,0.100000,,,10.000000,,3.261633,0.997982,3.767136,3.442336,8.711326,0.100190,3.859954,0.100000,0.100000
Tm3,,,,0.100000,0.810724,,,,1.568320,6.153614,4.223832,0.100000,0.889950,0.953070,5.856913,0.100000,,,0.122555,,,1.035848,,1.030236,,0.100792,6.314199,5.905009,0.100000,1.250119,6.924479,0.162517,,,0.100000,0.100000,7.159547,,,0.235229,,,2.206077,,,,0.100000,,0.100000,6.151759,0.100000,5.253656,,0.100000,,
Mi4,,,,,2.853068,0.199056,,2.964231,4.477314,7.292759,1.642437,0.100000,2.148627,0.209488,7.028372,0.100000,1.206393,1.497920,0.100000,0.258002,,,,,5.321841,,1.376968,,3.319134,2.953467,5.966937,2.640179,2.046447,,0.100000,,1.444659,,0.100000,0.851742,0.135334,,0.283818,2.078735,4.150837,2.278352,1.587678,0.742371,3.038879,,0.156298,5.962345,1.028659,5.408284,,
Mi9,,,,,,1.800835,0.996697,,5.591784,4.032529,2.814047,,1.503106,1.266450,0.100000,0.842421,1.528700,3.323907,3.007497,0.100000,,,,,,0.100000,3.166911,9.992626,0.100000,,3.291645,2.529942,0.375621,,1.146677,,5.056371,2.168875,,7.258813,10.000000,8.304708,8.400514,1.858830,0.102429,,1.032340,,1.043350,0.951127,,7.273902,2.854843,1.580962,0.118686,
T4a,,,,,,,,,,,,0.100000,1.102978,0.100000,0.100000,0.971512,,,,,0.101788,,,,,,,,,3.099834,,,,,,1.848681,,,,,,,2.627977,,,,,,,6.140026,,,,,4.470502,1.011887
T4b,,,,,,,,,0.100093,,4.169312,0.100000,7.904236,1.230746,,0.960024,,,,,,0.100225,,,,,,,,,,,,,,0.100000,,,,,,,6.249075,,,,,,6.930180,4.380860,0.100000,,,,,
T4c,,,,,,,,,,,,6.351695,,,0.100000,,,,,,,,0.100039,0.100352,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,0.100000,0.100000,,0.100000,1.465983,,
T4d,,,,,,,,,2.588789,,,,,,1.026639,0.100932,,,,,,,,5.603075,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000,0.446047,,3.726957,1.096514,,
Tm1,,,,,1.817169,,,0.981565,0.411180,4.207647,0.158345,0.884375,,,0.994468,,0.100000,0.222810,2.202578,0.244165,0.151180,1.421979,7.680446,1.536877,4.363148,0.100000,1.619779,0.100000,1.027325,4.890842,,0.421392,5.863463,,0.503112,6.320439,,1.416892,0.100000,6.168203,3.970405,1.090687,4.250445,4.880377,,,0.171376,3.533973,,5.988188,,0.651750,3.148977,3.860801,3.479858,0.600697
Tm2,,,,4.184987,1.784248,,,0.100000,0.100000,0.100000,1.789308,0.100000,0.100000,,6.804889,,0.832734,,1.144001,8.702184,1.822504,2.363438,9.479771,0.531375,0.155454,1.217396,0.100000,0.100000,,1.494534,4.543422,0.100000,2.467282,,,10.000000,,,5.196103,,,0.359258,0.100000,,,,,,6.217151,0.258912,0.100000,0.152557,5.162279,6.174763,5.484132,0.100000
Tm4,,,,,0.887741,,,,0.100192,0.100000,4.593071,,,,,,1.170509,2.018718,6.220040,,0.171980,0.134372,5.648177,7.502687,2.453308,0.110644,0.295750,0.100000,0.100000,4.581564,,0.745060,,,7.784748,7.219958,2.136470,,0.292277,,,0.100000,1.030485,,,,,,1.873738,4.161883,2.882131,3.436161,,3.589131,,2.255901
Tm9,,,,,,4.100596,,,,,6.603329,8.401468,,,,,0.100000,0.119766,10.000000,2.548593,0.407078,1.554408,9.696643,3.025611,,0.100000,0.100000,,,,,,6.077654,,,,,,,,0.100000,1.825308,,,,0.100000,0.407270,,,1.023190,8.559343,,8.824583,,1.325169,2.521775
T5a,,,,,,,,,,,,,0.100000,,,,,2.566540,,,3.319009,0.100000,,,,0.100001,,,,,,,,,,,,,,,,,0.100000,,,,,,,3.710190,,,,0.100000,1.208097,0.100000
T5b,,,,,,,,,,,,,,2.286073,,,,,,,3.059176,0.123766,,,,1.894919,,,,,,,,,,,,,,,,,,,,,,,6.812855,0.679472,1.705966,,,0.100000,,
