cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,0.957094,15.339599,2.606843,1.279715,-4.549575,-20.315039,16.961575,199.394989,198.360107,0.000000,15.247075,15.339599,19.999744,4.660146
1,R7,0.968693,2.250996,2.606843,3.843347,2.258066,-27.701525,22.032852,199.553207,188.887115,1.000000,2.258066,2.250996,3.181996,0.931000
2,R8,0.992244,5.387589,2.606843,2.631665,-5.281661,-20.101486,20.764238,195.425827,195.950378,0.000000,5.328344,5.387589,9.812212,4.424623
3,L1,1.041078,-7.970008,2.606843,2.671271,0.986172,-26.231829,17.945211,205.097565,212.250473,0.546715,-8.612686,-7.970008,-12.788827,-4.818819
4,L2,0.958209,-0.835319,2.606843,3.236623,2.678185,-27.890659,17.357883,203.222839,198.641388,0.000000,-2.051730,-0.835319,-12.176381,-11.341062
5,L3,1.032059,-1.807199,2.606843,0.100000,-1.409535,-23.659458,10.000000,193.478729,191.096970,0.931568,-1.782100,-1.807199,-2.532920,-0.725721
6,L4,0.994308,6.339053,2.606843,0.617402,-3.885704,-21.132547,19.123117,211.837250,215.909531,0.523959,5.166943,6.339053,-0.119249,-6.458302
7,L5,1.042901,-45.776115,2.606843,2.779393,-0.007940,-24.711384,10.000000,200.706406,206.934341,0.000000,-46.029953,-45.776115,-40.111580,5.664536
8,Mi1,1.047522,-49.308384,2.606843,1.968163,-1.278964,-24.109461,14.335351,201.362732,215.221130,0.000000,-48.373100,-49.308384,-31.817274,17.491110
9,Tm3,0.989141,-16.849630,2.606843,1.059022,-2.413263,-21.790169,19.242186,193.739212,207.225494,0.000000,-18.048559,-16.849630,8.828694,25.678325
10,Mi4,1.025901,-18.192020,2.606843,3.215782,-7.406830,-17.800716,99.990379,223.499100,190.547821,0.870274,-9.765436,-18.192020,-16.401834,1.790186
11,Mi9,1.038510,5.019890,2.606843,1.743896,-8.331563,-17.264240,26.396040,211.994293,208.205338,0.000000,-0.457983,5.019890,-0.914941,-5.934831
12,T4a,1.000000,-2.992212,2.606843,1.269389,-2.650565,-22.463619,17.489370,198.713379,197.933899,0.000000,-2.976793,-2.992212,1.581319,4.573531
13,T4b,1.000000,-2.274317,2.606843,1.451807,-1.701894,-23.317181,16.456579,204.187363,204.384964,0.000000,-2.347711,-2.274317,2.179277,4.453593
14,T4c,1.000000,3.337690,2.606843,4.878282,3.083262,-28.273079,10.000000,177.219452,206.193756,1.000000,3.083263,3.337690,14.292254,10.954564
15,T4d,1.000000,-0.725359,2.606843,2.480269,1.854891,-26.708452,12.682272,187.362442,192.997604,0.000000,0.135104,-0.725359,-0.131019,0.594340
16,Tm1,1.047852,26.708412,2.606843,0.710218,-0.786637,-24.557575,13.088358,187.981171,197.540298,0.075003,27.830191,26.708412,17.533632,-9.174780
17,Tm2,0.972915,0.663356,2.606843,1.787242,0.160397,-25.522499,10.000000,186.758270,207.018784,0.988363,0.424980,0.663356,-3.929895,-4.593251
18,Tm4,1.021250,47.938522,2.606843,3.027009,-3.791592,-21.763382,17.991251,218.883926,203.841064,0.099168,47.072929,47.938522,23.598454,-24.340069
19,Tm9,0.990846,8.431381,2.606843,4.707114,3.648899,-28.603809,22.259729,200.594757,203.166214,0.560509,8.122821,8.431381,7.071847,-1.359534
20,T5a,0.984555,-1.228418,2.606843,0.120450,-1.128505,-23.809643,10.054941,198.047440,199.550323,0.996538,-1.099236,-1.228418,-1.966922,-0.738504
21,T5b,0.953862,2.581044,2.606843,1.702627,0.425962,-25.167364,10.000000,185.636917,174.864059,0.952073,2.469371,2.581044,0.383061,-2.197983
22,T5c,1.015552,49.840797,2.606843,8.296512,7.846251,-34.137371,13.313474,203.595840,209.084885,0.595235,43.730770,49.840797,41.322590,-8.518208
23,T5d,0.983712,6.524035,2.606843,9.081635,-0.083707,-25.564232,10.000000,226.823776,194.420563,1.000000,-0.083707,6.524035,-3.661343,-10.185378
24,T1,1.043523,31.050230,2.606843,3.093777,3.457012,-28.410530,13.105089,201.238663,208.607727,0.384123,29.085693,31.050230,17.473690,-13.576540
25,T2,0.959486,9.407041,2.606843,3.443808,-0.048322,-24.979776,10.000000,219.214005,208.685364,0.195268,9.856886,9.407041,35.812702,26.405662
26,T2a,1.040264,-12.706635,2.606843,3.464471,1.175793,-25.501627,21.104439,202.496902,198.946625,0.000000,-2.876004,-12.706635,9.290439,21.997073
