cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.030927,13.254164,2.983278,1.301251,-6.770078,-18.479214,16.769125,210.223999,202.030090,0.000000,13.146376,13.254164,17.914858,4.660694
1,R7,0.986803,20.360657,2.983278,5.812918,0.756240,-25.880816,28.889648,207.011505,195.680832,0.000000,20.274494,20.360657,24.408257,4.047600
2,R8,1.022994,11.636628,2.983278,3.175682,-7.684803,-17.639935,21.878988,191.413803,198.183182,0.000000,11.547565,11.636628,16.260096,4.623467
3,L1,0.985350,-4.219721,2.983278,2.926659,1.364237,-26.283150,17.364302,212.908737,209.686600,0.634486,-4.556815,-4.219721,-10.570576,-6.350854
4,L2,0.956289,1.706508,2.983278,3.476157,2.520581,-27.377758,18.642382,216.408310,203.568192,0.000928,1.990567,1.706508,-19.141338,-20.847846
5,L3,0.981436,1.366622,2.983278,0.588298,-2.268904,-22.814100,19.701971,194.315948,192.799957,0.000000,1.363580,1.366622,-2.251838,-3.618461
6,L4,1.045655,1.300518,2.983278,2.327645,-5.534384,-19.709698,10.000000,177.712830,201.177460,0.643921,0.715259,1.300518,-5.151147,-6.451665
7,L5,0.978296,-74.893883,2.983278,3.129037,0.240652,-25.042789,10.000000,193.085342,210.688339,0.000000,-78.446442,-74.893883,-63.721359,11.172523
8,Mi1,1.032464,-60.388992,2.983278,1.853379,-0.884237,-24.195250,14.926822,199.583191,215.930206,0.000000,-61.303341,-60.388992,-40.316860,20.072132
9,Tm3,1.030343,-10.748112,2.983278,1.111491,-4.430785,-19.329512,20.991123,209.602112,191.241287,0.000000,-13.155422,-10.748112,22.108047,32.856159
10,Mi4,0.997244,-8.667222,2.983278,2.742800,-6.631211,-18.022875,84.668121,212.602417,203.239731,0.990076,-6.981393,-8.667222,-17.238464,-8.571242
11,Mi9,1.021821,-4.411586,2.983278,2.285881,-10.949021,-15.090205,24.733042,210.814835,202.012131,0.395168,-2.863516,-4.411586,-1.652626,2.758960
12,T4a,1.000000,-5.190662,2.983278,1.574664,-4.849792,-20.138277,18.124731,207.316177,199.114243,0.043156,-5.080726,-5.190662,-0.747183,4.443479
13,T4b,1.000000,-4.343547,2.983278,1.330672,-3.737208,-21.695889,17.294691,202.846924,203.302185,0.000000,-4.008215,-4.343547,0.126466,4.470013
14,T4c,1.000000,0.999706,2.983278,3.582485,1.933879,-27.135300,12.090765,211.113358,198.253342,0.366022,1.690202,0.999706,2.295742,1.296036
15,T4d,1.000000,0.770054,2.983278,1.741393,0.651279,-25.169750,10.000000,186.573654,205.222000,1.000000,0.651279,0.770054,0.072364,-0.697690
16,Tm1,0.957441,3.059129,2.983278,1.956014,1.400401,-26.590424,10.000000,193.494171,210.108551,0.480237,3.043873,3.059129,-2.774807,-5.833936
17,Tm2,1.015146,1.872871,2.983278,2.211644,0.550305,-25.258272,10.000000,182.325439,207.402557,0.850630,0.912825,1.872871,-0.771011,-2.643883
18,Tm4,0.971964,62.210514,2.983278,2.113225,-3.054659,-22.146099,27.058031,202.674011,215.033920,0.000000,60.556431,62.210514,29.007511,-33.203003
19,Tm9,0.955500,15.683945,2.983278,5.275103,-0.638359,-24.672108,10.005888,188.635864,197.047607,0.000000,17.243408,15.683945,15.926206,0.242261
20,T5a,1.011833,-0.890521,2.983278,0.100000,-0.752717,-23.910650,10.000000,191.835403,197.333344,1.000000,-0.752717,-0.890521,-1.794996,-0.904475
21,T5b,0.963961,53.743179,2.983278,2.364982,0.762409,-25.680889,17.797583,182.399399,193.663376,0.030816,55.525108,53.743179,53.836014,0.092834
22,T5c,0.954454,98.839752,2.983278,5.815341,9.979462,-30.260803,23.451635,202.734436,195.287811,0.000000,98.814758,98.839752,98.417870,-0.421883
23,T5d,0.990039,3.278993,2.983278,8.561218,1.582946,-26.374397,10.000000,216.416229,200.220657,1.000000,1.582946,3.278993,-2.985328,-6.264321
24,T1,1.042334,54.974949,2.983278,3.183704,2.808137,-27.370859,17.599417,215.060059,206.385040,0.162585,55.730507,54.974949,30.691347,-24.283602
25,T2,1.002188,7.910660,2.983278,3.445825,-2.898378,-23.358488,10.000000,203.694168,220.269409,0.506227,8.926387,7.910660,30.103317,22.192657
26,T2a,0.967408,3.662665,2.983278,3.257278,0.741699,-25.935234,23.298084,197.043411,199.490555,0.000000,5.343770,3.662665,21.553642,17.890977
27,T3,1.039055,-4.642638,2.983278,7.125867,-11.543630,-15.228664,24.588299,201.081604,233.310104,0.762285,-6.262619,-4.642638,24.337534,28.980172
28,C2,1.044132,0.578572,2.983278,1.697805,-1.510930,-23.198147,16.311686,210.275162,204.065933,0.074529,0.381327,0.578572,10.315187,9.736616
29,C3,0.971282,-66.987343,2.983278,2.424290,-2.532008,-22.216663,15.425590,185.509216,196.097641,0.007194,-68.489769,-66.987343,-43.566082,23.421261
30,Lawf1,1.026567,1.268284,2.983278,3.473160,1.040163,-26.602404,19.526388,219.762695,196.104904,0.735372,1.103346,1.268284,4.394908,3.126624
31,Lawf2,1.016634,54.009808,2.983278,3.433632,3.039880,-27.839659,14.469194,204.630310,200.414276,0.000000,61.668110,54.009808,42.438244,-11.571564
32,Dm3v,1.029516,45.515419,2.983278,5.700275,5.646875,-30.841162,25.647375,199.160172,219.452942,0.115408,46.691620,45.515419,45.492775,-0.022644
33,Lai,0.960722,-80.629227,2.983278,3.588545,0.013548,-25.502888,10.176119,206.738693,207.804443,0.000000,-79.786667,-80.629227,-83.752800,-3.123573
34,Mi10,1.045529,-0.984558,2.983278,0.331570,-0.881508,-24.301523,12.072556,190.268204,186.811508,0.987240,-0.857478,-0.984558,-2.034420,-1.049862
35,Mi13,1.040443,11.061723,2.983278,2.637584,0.390174,-25.349686,25.544300,210.163849,205.795731,0.075893,14.674272,11.061723,6.795386,-4.266337
36,Mi14,1.007592,12.890668,2.983278,2.739588,-3.359604,-22.471411,10.000000,212.549988,171.140182,0.836166,7.911926,12.890668,0.622711,-12.267957
37,Mi15,0.987325,-6.660892,2.983278,1.342309,-0.645596,-24.043964,10.000000,196.062790,201.792374,0.349351,-5.813787,-6.660892,-4.690443,1.970449
38,Mi2,1.038866,2.149371,2.983278,2.817589,1.590648,-26.256256,10.000000,207.778152,211.373093,1.000000,1.590648,2.149371,0.398730,-1.750641
39,Tm16,1.046122,-14.581394,2.983278,3.682715,-2.300320,-20.936121,10.000000,187.736374,173.254990,1.000000,-2.300320,-14.581394,-2.599457,11.981937
40,Tm20,1.007946,14.938296,2.983278,5.334012,-6.529244,-20.136599,30.933802,221.822693,203.210159,0.165596,13.084710,14.938296,1.042710,-13.895586
41,Tm21,0.960387,-10.072474,2.983278,6.323952,-8.492629,-17.127102,10.324343,207.239914,227.545135,1.000000,-8.492629,-10.072474,-3.833924,6.238550
42,Tm27,0.959897,-2.652397,2.983278,5.894372,2.305733,-26.889381,11.508359,200.396835,190.609695,0.027376,-2.387708,-2.652397,-1.506315,1.146083
43,Tm5a,0.971109,-32.639565,2.983278,1.798473,0.720301,-25.541824,16.446381,192.267715,200.621933,0.277390,-32.724480,-32.639565,-35.764690,-3.125126
44,Tm5b,1.039600,-10.045568,2.983278,8.199475,2.090340,-27.372725,10.000000,198.206238,221.685623,0.250929,-9.573058,-10.045568,-13.745541,-3.699972
45,Tm5c,0.965359,4.008549,2.983278,5.782575,-1.623459,-23.858593,30.977016,221.451309,225.498672,0.875280,0.014265,4.008549,5.751306,1.742756
46,Tm5f,0.976699,47.554962,2.983278,6.268089,-1.221179,-25.612562,30.728285,204.915665,214.273407,0.582245,40.315571,47.554962,42.716194,-4.838768
47,TmY10,0.987397,8.616585,2.983278,10.000000,-2.876175,-25.700172,20.737753,198.700714,200.986237,0.964730,-1.521995,8.616585,7.053380,-1.563205
48,TmY11,1.023500,2.077868,2.983278,7.234852,6.513412,-32.470139,13.508378,201.346268,209.486649,0.174192,13.427033,2.077868,13.708189,11.630321
