,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,0.972938,,,0.999171,1.031483,1.026562,0.997088,,,,,,,,,,,,,,,,,,0.957726,,,,1.036038,1.041464,,,,0.957843,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.031681,1.005072,,0.983195,,,1.040159,,0.994487,1.025753,,,,,,,,,,,,,,,,,,0.990168,0.969653,,,0.950857,0.954170,,,1.003546,0.962275,,1.040709,,0.951957,1.007832,0.973405,1.009000,1.014336,,,,,,,,,
R8,,1.015779,0.964117,0.956770,0.963792,1.038921,,0.993514,0.983292,,1.002710,1.017989,,,,,,,,,,,,,1.003381,,,,0.971617,0.971828,1.003818,1.006863,,,1.030234,,0.981084,1.030766,0.956497,,1.018095,1.043761,,,1.044898,0.995206,,1.035174,,0.991647,,,,,0.987177,
L1,0.987705,1.048498,0.991327,1.015720,0.999551,0.966942,0.976674,1.036132,0.978629,0.999937,0.970887,,,,,,0.973258,0.991475,,,,,,,0.995280,0.989862,1.033905,,1.039548,1.013024,,0.969846,,1.042153,,,,1.040892,1.034833,,,,0.988400,,,,,,,,,0.977105,,,,
L2,0.976819,,0.972880,1.000037,1.022762,0.982150,0.980668,1.041002,0.972040,1.049011,0.971535,0.994202,,,,,0.984382,1.030372,1.043985,,,,,,0.979462,0.956077,0.994685,,0.957995,0.983703,,,,1.041761,,1.009315,1.049585,,1.040081,,0.996643,,,,0.982675,,,,,,,0.979946,,,,
L3,,0.991340,1.002583,0.970329,0.958270,,,,1.030792,,1.042322,1.025028,,,,,0.978885,1.020419,1.029154,1.033659,,,,,1.011499,,,,1.040999,0.961333,0.993031,,1.036545,,1.045231,0.956511,,0.953412,0.987201,0.964522,1.030840,0.966006,0.996340,1.046128,1.013789,0.962467,1.049841,0.993097,,,,,0.979350,,1.020404,1.002268
L4,1.009598,,,0.969846,1.038900,1.047822,0.954048,1.025248,0.976127,,,0.996980,,,,,1.007647,0.973092,0.972210,0.961490,,,,,,1.000216,,,,0.970560,1.010458,0.987800,,,,0.993691,1.003420,,,,,,0.980581,,,,,,,,,1.049524,,,,
L5,,,,0.956087,1.017596,,,1.040158,0.980099,0.958010,1.045003,0.990733,,,,,0.966743,0.951348,1.022794,,,,,,0.985575,0.994884,1.044659,,1.020193,1.007879,1.001836,1.049630,,0.993258,0.959734,0.963130,0.991632,0.982872,0.980943,,1.043347,0.991912,1.024594,,0.995911,,,,0.961659,0.951139,0.991103,0.995046,,1.011652,,
Mi1,,1.038543,1.016578,1.003929,0.999857,,,0.957764,0.988785,0.984175,0.986610,1.019877,1.020616,1.005425,0.971580,0.993835,0.975656,1.007036,0.968218,,,,,,0.991353,0.969930,1.010707,1.034204,0.975235,1.024473,1.021169,0.958013,1.009918,,0.986584,0.976996,0.996920,0.968441,1.019608,,1.011395,1.007446,1.025629,,,0.995278,,1.002405,0.994355,1.038309,1.001856,0.962691,0.985534,1.039240,1.004481,1.012796
Tm3,,,,1.037361,0.954310,,,,1.021149,1.038829,0.992661,0.973037,1.037769,0.966587,1.004126,1.005688,,,1.030228,,,1.041425,,1.011873,,0.973481,1.017380,0.953562,0.994431,1.027332,0.969796,1.000860,,,1.003853,0.987179,1.010860,,,0.966139,,,1.028895,,,,0.955827,,1.027047,1.018175,1.029220,0.977646,,0.958929,,
