cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.026790,19.759518,0.967226,1.008541,-0.174197,-25.000000,9.793204,195.077652,208.634811,0.003201,19.656958,19.759518,19.759457,-0.000061
1,R7,0.971339,18.145723,0.967226,1.025140,0.026015,-25.000000,9.650614,192.381821,196.840729,0.040582,18.065647,18.145723,18.145021,-0.000702
2,R8,1.004915,20.609589,0.967226,1.031058,0.435629,-25.000000,9.276287,202.648605,194.725952,-0.026159,20.509888,20.609589,20.610016,0.000427
3,L1,1.039219,-3.275798,0.967226,1.007724,0.324286,-25.000000,10.804064,201.806503,201.272858,0.518983,-3.198233,-3.275798,-3.271529,0.004269
4,L2,0.972636,-6.809585,0.967226,0.986960,-0.360193,-25.000000,9.534797,209.702026,190.008713,0.470314,-6.700580,-6.809585,-6.804733,0.004852
5,L3,0.999450,-5.783071,0.967226,1.037578,-0.428367,-25.000000,10.127945,191.511108,193.813538,-0.023980,-5.690876,-5.783071,-5.783142,-0.000071
6,L4,0.985050,-0.174916,0.967226,0.968333,-0.259793,-25.000000,10.968343,195.400101,206.441742,0.525692,-0.171645,-0.174916,-0.174659,0.000256
7,L5,0.991777,0.035606,0.967226,1.004672,0.485577,-25.000000,10.262470,202.501312,204.808044,0.524203,0.035406,0.035606,0.035576,-0.000030
8,Mi1,1.000503,-1.465516,0.967226,0.986910,0.387981,-25.000000,10.859805,192.118851,193.850815,0.028835,-1.475694,-1.465516,-1.466138,-0.000621
9,Tm3,1.045592,1.089747,0.967226,0.968836,0.211232,-25.000000,10.784579,198.718689,208.168533,0.047934,1.064673,1.089747,1.089290,-0.000458
10,Mi4,0.952788,0.288791,0.967226,1.038009,-0.177394,-25.000000,199.150055,194.239410,208.736664,0.017317,0.298709,0.288791,0.285873,-0.002918
11,Mi9,1.014345,0.744012,0.967226,0.990899,-0.161337,-25.000000,9.500732,197.552536,202.025986,0.012480,0.771304,0.744012,0.744284,0.000272
12,T4a,1.000000,1.487981,0.967226,0.969072,0.358457,-25.000000,10.837299,196.036499,209.956696,0.005911,1.482437,1.487981,1.487956,-0.000025
13,T4b,1.000000,0.921644,0.967226,0.995203,0.024208,-25.000000,10.348462,196.517334,194.780746,0.045306,0.917027,0.921644,0.921620,-0.000025
14,T4c,1.000000,1.021234,0.967226,0.997593,-0.149060,-25.000000,9.485952,206.860764,202.450211,-0.021408,1.015415,1.021234,1.021212,-0.000022
15,T4d,1.000000,1.003601,0.967226,1.016572,0.044270,-25.000000,10.737452,201.228317,204.147781,-0.003873,0.998768,1.003601,1.003579,-0.000022
16,Tm1,1.036612,2.542649,0.967226,0.951377,0.213738,-25.000000,9.244380,196.003159,208.560471,0.012048,2.611405,2.542649,2.543791,0.001142
17,Tm2,0.980594,2.825663,0.967226,1.044399,-0.155166,-25.000000,10.702439,197.364792,190.174026,-0.021339,2.871161,2.825663,2.826433,0.000770
18,Tm4,0.959436,0.918517,0.967226,1.037209,-0.425149,-25.000000,10.574970,206.538528,201.389175,-0.014948,0.951749,0.918517,0.919012,0.000494
19,Tm9,0.990183,0.386601,0.967226,0.958325,0.259593,-25.000000,10.976533,193.871429,201.231461,0.002357,0.396919,0.386601,0.386680,0.000078
20,T5a,0.953144,2.590754,0.967226,0.965483,0.463113,-25.000000,9.394137,192.053482,196.014664,-0.010551,2.584415,2.590754,2.590799,0.000045
21,T5b,0.986845,2.192854,0.967226,0.971349,0.282468,-25.000000,9.233278,194.922195,201.437790,-0.029021,2.186814,2.192854,2.192882,0.000028
22,T5c,0.972637,2.318316,0.967226,1.015850,0.197621,-25.000000,10.544450,194.208206,202.644730,-0.010712,2.311754,2.318316,2.318357,0.000041
23,T5d,0.975826,1.987121,0.967226,1.009336,0.336221,-25.000000,9.967297,192.272690,200.598633,0.039378,1.982794,1.987121,1.987186,0.000065
