,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,2.839360,,,1.435816,0.568326,0.617995,2.121669,,,,,,,,,,,,,,,,,,0.100000,,,,5.222964,3.036491,,,,1.772690,,,,,,,,,,,,,,,,,,,,,,
R7,,,2.127430,0.100000,,2.296769,,,2.773715,,5.064374,3.235239,,,,,,,,,,,,,,,,,,1.318395,1.688855,,,0.100000,0.100000,,,4.263820,0.100000,,9.995075,,5.363280,4.691424,7.175364,8.996476,0.100000,,,,,,,,,
R8,,7.242633,0.100000,3.875476,1.615264,2.892561,,1.829895,0.100000,,5.449918,1.351145,,,,,,,,,,,,,5.006925,,,,4.618862,0.100000,8.438462,0.100000,,,0.100000,,0.100000,3.411406,6.130282,,2.410460,3.349750,,,0.516307,6.002515,,0.100837,,10.000000,,,,,0.985518,
L1,4.567339,9.705726,10.000000,5.422911,0.100000,1.463090,0.161995,3.152731,2.665081,2.263157,0.100000,,,,,,0.100000,2.878678,,,,,,,1.428584,10.000000,6.326221,,3.669876,2.596514,,0.100000,,8.676907,,,,0.837939,0.100000,,,,3.974380,,,,,,,,,0.100000,,,,
L2,0.169875,,4.186398,3.872705,0.100000,0.119227,0.100000,1.502374,1.494900,0.100000,1.299425,0.721706,,,,,0.100000,0.100000,1.206115,,,,,,1.736560,0.100000,6.115627,,1.409092,0.100000,,,,4.554043,,8.989958,4.457968,,7.621174,,1.951483,,,,0.100000,,,,,,,7.028473,,,,
L3,,2.449372,0.100000,4.399489,6.989185,,,,0.110830,,0.100000,0.771697,,,,,2.513619,0.100000,4.020656,3.645523,,,,,6.382204,,,,0.109415,4.483041,2.482220,,5.341900,,0.100000,0.100000,,0.989188,2.185187,0.100000,3.335062,0.960884,2.156398,4.073954,1.464297,9.628468,1.191113,1.046471,,,,,0.999618,,1.001717,2.713918
L4,0.100000,,,2.269989,0.101195,2.960803,0.101194,3.220647,0.100000,,,0.130872,,,,,1.019926,0.154369,0.100000,5.207363,,,,,,0.100000,,,,0.100000,2.183575,4.054301,,,,0.100000,1.638457,,,,,,5.344649,,,,,,,,,0.376555,,,,
L5,,,,2.280724,4.105030,,,10.000000,0.288941,0.100000,0.100000,5.520687,,,,,0.110754,0.100000,3.931789,,,,,,7.703325,5.395815,3.122291,,0.100000,1.203283,3.503213,6.125300,,0.360937,7.297110,2.971625,0.520079,0.608918,0.100000,,10.000000,10.000000,0.793841,,3.295871,,,,10.000000,1.330790,4.019794,0.278806,,0.100000,,
Mi1,,0.175728,0.100000,0.100000,0.137864,,,1.315453,0.115803,4.299050,4.459701,3.063267,1.398334,1.437395,3.909483,10.000000,10.000000,1.164466,0.100000,,,,,,2.895408,7.355159,5.455208,1.329400,2.927687,6.061807,0.100497,0.100000,0.100000,,1.620989,2.992892,1.795305,0.100000,0.759874,,0.100000,1.870534,9.476293,,,4.490049,,2.932757,1.011259,0.386463,0.180483,0.100000,0.100000,3.118347,3.339865,3.033958
Tm3,,,,0.169528,10.000000,,,,1.845447,2.897456,5.231477,0.100000,1.440853,2.073902,6.799291,8.962588,,,0.903014,,,0.970618,,0.956648,,0.100000,1.866832,0.331990,0.308702,3.365286,0.100000,0.537982,,,3.084900,2.806303,10.000000,,,2.812471,,,5.756439,,,,0.281294,,6.103050,0.100000,1.250240,0.106187,,0.100000,,
Mi4,,,,,0.100000,0.108196,,3.843641,4.458466,0.100000,0.100000,1.949187,2.625986,0.934716,2.490052,2.162561,2.578246,0.256083,0.100000,0.872505,,,,,0.249076,,1.621898,,2.025582,0.100000,4.927432,0.612460,3.123123,,0.729076,,2.538377,,0.121147,3.297166,2.406365,,0.100000,0.100000,0.100000,1.820118,1.469673,0.210054,0.100000,,0.115617,0.148581,1.016115,2.016707,,
Mi9,,,,,,2.786994,0.100000,,3.227843,1.542454,4.525476,,0.606227,0.579097,1.026157,0.100000,0.476729,0.100000,1.671583,0.100000,,,,,,0.100000,0.103738,0.582084,3.202514,,0.922698,0.100000,0.100000,,0.197049,,3.740733,1.615649,,0.322431,5.234585,1.303040,10.000000,8.894396,6.552389,,1.032514,,3.737057,0.997732,,5.372167,4.113461,0.146819,0.101480,
