,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,4.229905,,,1.279817,0.100000,0.100000,4.308037,,,,,,,,,,,,,,,,,,0.100000,,,,5.423356,0.152005,,,,2.270091,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.094047,0.100000,,0.100000,,,2.670365,,2.010087,4.604918,,,,,,,,,,,,,,,,,,0.100000,4.179176,,,1.090487,10.000000,,,3.523094,0.100000,,1.308789,,1.538885,0.100000,0.100000,0.100000,1.544641,,,,,,,,,
R8,,1.152055,1.644535,2.923591,0.100000,0.100000,,1.870692,0.100000,,7.924176,2.188061,,,,,,,,,,,,,2.153278,,,,0.100000,8.336340,1.512083,0.100000,,,0.460220,,0.100000,3.172659,4.831898,,9.998188,3.714847,,,0.628887,3.891785,,0.513878,,5.131746,,,,,1.006694,
L1,6.738981,0.598463,9.958374,5.956610,7.390921,0.100000,9.607288,3.774642,2.535285,2.412305,0.104549,,,,,,0.793203,0.202670,,,,,,,2.820414,0.100000,2.562703,,1.627369,0.100000,,0.659632,,1.348251,,,,3.004946,0.211304,,,,10.000000,,,,,,,,,0.100000,,,,
L2,0.100000,,0.433342,3.842755,0.100000,1.413628,1.195862,0.160238,0.503967,0.100000,9.553594,4.014460,,,,,0.208570,0.846302,3.975253,,,,,,3.397239,3.483580,4.457005,,10.000000,0.100166,,,,3.600840,,1.388791,9.902867,,9.900973,,0.387222,,,,0.100000,,,,,,,2.594619,,,,
L3,,0.100000,5.085538,0.100000,0.182921,,,,0.100000,,0.600956,0.728463,,,,,0.986347,0.100000,4.025942,6.956948,,,,,1.334281,,,,0.100000,3.676496,4.429280,,2.285913,,10.000000,0.454615,,0.988751,4.163912,9.917379,2.162207,1.032865,0.100000,0.100000,9.697743,10.000000,0.100000,8.869626,,,,,1.022765,,10.000000,0.998087
L4,0.100000,,,5.296571,1.076668,0.315569,6.296099,0.100000,0.100041,,,0.100000,,,,,3.102867,3.357191,0.179961,1.601057,,,,,,0.100000,,,,3.739795,3.441365,0.100000,,,,0.100000,2.282333,,,,,,9.163539,,,,,,,,,0.166294,,,,
L5,,,,0.546253,5.266745,,,0.160658,3.029013,0.975255,0.100000,7.167019,,,,,10.000000,0.210699,3.825885,,,,,,3.900234,3.516885,10.000000,,4.897400,0.100000,2.908604,0.100002,,1.992670,0.100000,0.100000,0.100000,0.123158,5.350569,,3.664152,10.000000,9.646185,,7.542411,,,,0.100000,0.337542,3.503313,8.906854,,6.217119,,
Mi1,,8.803288,0.100000,0.100000,0.100000,,,2.195384,1.322153,5.810806,0.100000,4.903167,1.165826,1.355471,7.040062,3.558406,10.000000,0.169623,0.184762,,,,,,7.187640,0.165350,7.262489,7.365446,10.000000,0.100000,0.654843,1.521341,0.100000,,0.100000,3.947746,2.490062,0.111635,0.521152,,0.100000,10.000000,0.100000,,,0.100000,,3.146637,1.028096,10.000000,7.535079,7.543684,0.596117,3.155476,3.386194,0.100000
Tm3,,,,0.100000,7.335636,,,,4.489879,3.963650,4.527901,0.100000,1.430073,1.662981,5.179064,0.763596,,,2.047673,,,1.010844,,1.015639,,0.200633,5.248260,5.001142,1.707223,3.712962,7.866719,0.100000,,,2.883672,0.270330,10.000000,,,0.100000,,,10.000000,,,,0.100000,,2.508179,5.566631,1.411913,2.920140,,3.660023,,
