cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,0.955784,16.170929,2.633017,1.353280,-4.206513,-21.052702,19.930035,205.528625,209.833054,0.000000,16.072481,16.170929,19.346991,3.176062
1,R7,0.971273,-4.095977,2.633017,0.100000,-4.034359,-20.994110,13.515692,211.565414,194.504227,0.994069,-4.087980,-4.095977,-4.103895,-0.007918
2,R8,0.980619,-3.006731,2.633017,3.559930,-6.305982,-18.283073,10.301738,213.063217,245.829834,0.838067,-3.018947,-3.006731,-1.075604,1.931126
3,L1,1.010420,-3.999850,2.633017,3.765297,0.947468,-25.903252,21.276285,211.767914,207.193314,0.779621,-3.782956,-3.999850,-9.677383,-5.677533
4,L2,0.950191,10.181045,2.633017,4.799434,3.756994,-28.721247,15.782292,212.814911,204.747787,0.611766,10.227381,10.181045,4.032773,-6.148271
5,L3,0.953128,-15.390645,2.633017,1.583690,-0.917408,-23.794165,10.000000,203.887878,196.214767,0.495385,-14.966577,-15.390645,-19.082123,-3.691478
6,L4,0.962496,2.247108,2.633017,0.749868,-1.710719,-23.289803,14.503191,197.136322,212.345963,0.234992,2.221617,2.247108,1.200257,-1.046852
7,L5,0.951117,1.153444,2.633017,1.843866,0.941937,-26.229084,10.000000,202.160400,188.072800,1.000000,0.941937,1.153444,-0.760295,-1.913740
8,Mi1,0.973758,-68.489899,2.633017,2.039479,-0.951492,-24.024094,17.458563,200.234344,224.186264,0.178079,-70.534462,-68.489899,-55.678295,12.811604
9,Tm3,1.024304,-29.089481,2.633017,1.158096,0.204160,-24.920553,26.714664,197.952637,217.090012,0.000000,-30.171417,-29.089481,-17.974676,11.114805
10,Mi4,0.982274,-10.017702,2.633017,2.031578,-7.422808,-17.478634,80.946083,253.105408,153.622513,0.993438,-7.681011,-10.017702,-11.382409,-1.364707
11,Mi9,0.994046,36.735531,2.633017,1.514901,-2.534990,-22.639408,33.046524,194.005646,196.759811,0.000000,36.773518,36.735531,33.959042,-2.776489
12,T4a,1.000000,-2.511778,2.633017,0.279217,-1.013118,-23.862337,23.054411,201.848236,191.219360,0.000000,-2.546433,-2.511778,-0.102150,2.409628
13,T4b,1.000000,-2.872982,2.633017,0.486912,-1.913868,-22.655924,23.912729,202.108124,206.807419,0.000000,-2.906441,-2.872982,-0.437486,2.435496
14,T4c,1.000000,-0.714342,2.633017,0.279362,-0.685715,-24.295973,10.000000,193.515717,209.876236,0.979136,-0.719081,-0.714342,0.732967,1.447309
15,T4d,1.000000,-0.998435,2.633017,0.100000,-0.917475,-24.231085,10.007936,189.397614,204.033615,0.969533,-1.003526,-0.998435,0.205219,1.203653
16,Tm1,1.042546,99.956192,2.633017,3.701740,1.101933,-26.082403,15.946218,200.136917,193.806488,0.000322,99.985558,99.956192,90.712997,-9.243195
17,Tm2,1.032036,82.434822,2.633017,1.334066,-0.735415,-24.376509,14.609604,213.013000,213.746277,0.167868,82.418045,82.434822,74.507225,-7.927597
18,Tm4,0.999502,-0.937987,2.633017,0.327994,-1.197593,-23.849998,18.196543,219.675064,209.544495,1.000000,-1.197593,-0.937987,-4.144161,-3.206174
19,Tm9,1.035684,-3.629635,2.633017,4.404645,0.732069,-25.488344,41.062771,207.996201,204.091797,0.000000,-3.742238,-3.629635,-2.991794,0.637841
20,T5a,0.951280,-1.849187,2.633017,0.293410,-1.954046,-23.001419,13.611554,206.317184,200.958740,0.975474,-1.849825,-1.849187,-1.992669,-0.143482
21,T5b,0.959216,28.683353,2.633017,2.817013,2.279043,-27.442518,35.767483,225.023849,214.516556,0.087337,28.412861,28.683353,29.430681,0.747328
22,T5c,1.021748,14.004320,2.633017,0.471038,-0.894569,-24.474314,10.494418,213.468643,188.135986,0.768466,13.565190,14.004320,10.537627,-3.466693
23,T5d,0.999432,-0.526446,2.633017,0.352383,-0.514212,-24.295515,11.738290,193.933136,212.974991,1.000000,-0.514212,-0.526446,-1.282130,-0.755684
24,T1,0.983338,96.617500,2.633017,1.707600,1.010564,-24.947639,13.072142,207.937332,197.327179,0.041936,96.621918,96.617500,82.529144,-14.088356
25,T2,1.015927,-1.422537,2.633017,0.814330,-3.183436,-21.718708,18.540066,211.875473,202.635605,0.892941,-1.440180,-1.422537,-1.280707,0.141830
26,T2a,1.001847,2.021431,2.633017,2.231766,1.912446,-26.552971,18.974449,201.675339,211.115021,0.859922,2.220161,2.021431,5.075812,3.054381
27,T3,0.991912,0.367659,2.633017,2.244078,-2.057050,-23.520487,26.954472,210.128174,199.285141,0.740355,0.269870,0.367659,7.709321,7.341662
28,C2,1.029162,-69.694908,2.633017,1.869057,-2.489497,-22.856127,17.249153,211.398285,199.973007,0.045872,-71.421509,-69.694908,-58.058922,11.635986
29,C3,0.987922,-64.118385,2.633017,2.254533,-0.446096,-24.344715,14.618565,196.889008,212.417221,0.110141,-65.910530,-64.118385,-51.219734,12.898651
30,Lawf1,0.999669,7.921453,2.633017,4.016094,2.617353,-28.080986,10.011067,205.890610,204.468491,0.212510,8.265537,7.921453,8.438394,0.516941
31,Lawf2,1.033537,-0.453563,2.633017,0.100000,-1.988778,-22.554958,12.493746,213.456985,216.316635,0.999563,-1.979144,-0.453563,-2.417266,-1.963703
32,Dm3v,1.000081,-3.356937,2.633017,0.444856,-3.591167,-20.959112,13.542458,203.243301,201.913559,0.970554,-3.371306,-3.356937,-3.450524,-0.093588
33,Lai,1.016311,-75.173317,2.633017,0.494819,-0.102591,-24.400990,10.002224,193.775253,201.338165,0.000000,-74.450836,-75.173317,-77.060417,-1.887100
34,Mi10,1.017339,-42.238800,2.633017,2.363283,-1.334243,-23.507402,10.103477,192.237198,195.948105,0.000000,-41.350121,-42.238800,-40.773087,1.465714
35,Mi13,0.954382,-29.282728,2.633017,0.812070,-2.530791,-22.055115,10.558520,205.213486,209.205154,0.000000,-28.955833,-29.282728,-29.120281,0.162447
36,Mi14,0.952975,0.583777,2.633017,1.659227,0.509499,-25.740353,18.118143,206.430939,197.596313,0.987297,0.554346,0.583777,1.985430,1.401654
37,Mi15,0.993401,1.419996,2.633017,5.045102,4.635868,-29.216402,10.000000,239.083801,167.487061,0.918898,1.472564,1.419996,0.008251,-1.411745
38,Mi2,0.965822,2.798604,2.633017,0.929035,-0.993982,-23.841228,10.114168,200.109467,205.742233,0.642731,2.842011,2.798604,2.523299,-0.275305
39,Tm16,0.964851,-29.485283,2.633017,3.210836,1.120436,-26.105101,10.895334,181.763916,198.300903,0.029811,-29.036404,-29.485283,-29.274546,0.210737
40,Tm20,0.975634,43.108067,2.633017,2.519834,0.296409,-25.714769,11.422000,189.563904,181.520218,0.000000,42.712734,43.108067,41.093483,-2.014584
41,Tm21,0.968004,-0.006267,2.633017,2.077796,-0.929601,-24.692934,10.017461,200.862900,203.686111,0.989162,-0.417569,-0.006267,-3.970773,-3.964507
42,Tm27,0.959301,-0.625742,2.633017,0.100000,-1.757433,-23.123833,10.552994,201.810852,198.816895,0.670529,-0.790281,-0.625742,-0.725231,-0.099489
43,Tm5a,1.002315,20.690014,2.633017,4.086447,1.540892,-26.768116,10.000000,202.851608,215.459106,0.852639,10.793148,20.690014,20.547831,-0.142183
44,Tm5b,0.998712,-1.905435,2.633017,0.966509,-2.344944,-22.784883,10.000000,204.247772,218.612442,0.928996,-1.948584,-1.905435,-1.786239,0.119197
45,Tm5c,0.980987,3.111098,2.633017,4.383266,3.150957,-28.418715,10.000000,202.581482,164.586853,1.000000,3.150957,3.111098,1.816500,-1.294598
46,Tm5f,0.961658,85.730728,2.633017,7.062470,6.848405,-31.053230,17.364330,191.539490,185.364670,0.000000,84.916603,85.730728,85.419006,-0.311722
47,TmY10,1.014484,0.382615,2.633017,0.460678,-1.117063,-24.209030,11.247483,207.871490,201.574265,1.000000,-1.117063,0.382615,0.324396,-0.058218
48,TmY11,1.028031,-49.304775,2.633017,0.342520,-0.240686,-24.340078,10.000000,193.373993,197.204788,0.066320,-48.625271,-49.304775,-47.296997,2.007778
49,TmY14,0.983086,93.439400,2.633017,2.956062,2.731371,-26.837414,14.290521,217.235443,199.789764,0.148204,93.236267,93.439400,93.675247,0.235847
50,TmY15,0.964931,-0.792715,2.633017,0.444289,-0.768915,-24.412010,12.757789,201.735321,183.091568,0.624126,-1.010551,-0.792715,0.210525,1.003241
51,TmY3,1.008937,97.484352,2.633017,3.760814,4.508875,-28.142599,14.484427,216.422287,207.001053,0.088519,97.406967,97.484352,96.534912,-0.949440
52,TmY4,0.982641,61.618191,2.633017,4.033897,2.899105,-27.875549,10.000000,207.215302,200.743851,1.000000,2.899105,61.618191,56.799324,-4.818867
53,TmY5a,0.999734,39.917267,2.633017,3.955551,2.424305,-27.823389,10.986799,205.318771,206.432877,0.211219,34.569500,39.917267,42.600216,2.682949
54,TmY9q,0.995240,93.339272,2.633017,5.591100,3.003502,-29.127954,13.132408,209.773376,217.486069,0.064419,93.310997,93.339272,93.017555,-0.321716
55,TmY9q__perp,1.013444,98.191292,2.633017,3.827392,-2.596962,-24.376041,10.000000,209.870255,212.942291,0.001051,98.163063,98.191292,97.612831,-0.578461
