,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,3.232786,,,2.006096,0.590015,2.382162,0.241621,,,,,,,,,,,,,,,,,,0.155784,,,,1.146801,0.205011,,,,1.800259,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.100000,0.501818,,0.100000,,,0.407337,,0.100000,1.816687,,,,,,,,,,,,,,,,,,0.163926,2.910039,,,0.100796,0.133480,,,0.100000,0.100014,,0.164742,,1.407263,0.114431,3.030206,8.075849,0.111728,,,,,,,,,
R8,,8.129625,0.100000,2.971228,1.472097,4.333590,,9.811079,0.100000,,6.695691,4.909682,,,,,,,,,,,,,3.969387,,,,0.436708,7.480006,9.695279,0.143002,,,10.000000,,3.487524,9.703732,5.092424,,0.100000,1.726118,,,6.906928,7.993196,,0.166044,,3.139834,,,,,1.024781,
L1,1.668428,0.418995,6.797202,3.936605,0.200803,0.100000,0.539948,1.636048,3.314140,2.211453,0.226175,,,,,,0.100211,2.956234,,,,,,,0.141152,3.301093,2.266806,,6.738777,3.947282,,1.841665,,1.367212,,,,9.653957,0.492176,,,,4.446599,,,,,,,,,0.485072,,,,
L2,1.332269,,1.473065,5.868562,0.186704,3.540280,0.563385,0.577722,1.308696,0.100000,9.001362,10.000000,,,,,4.705029,1.258790,0.672925,,,,,,3.103116,1.077113,0.183389,,2.548283,1.399581,,,,0.829887,,0.100000,0.128854,,4.087842,,3.123527,,,,3.739827,,,,,,,9.975703,,,,
L3,,2.878900,8.899565,4.406111,0.100000,,,,0.216831,,0.932885,1.155887,,,,,2.961249,0.103458,3.176462,0.100000,,,,,7.463599,,,,0.364190,0.100000,0.100000,,0.100000,,0.750878,0.100000,,1.045923,6.465918,4.962857,0.248934,1.036459,1.995147,4.391782,3.927082,9.718516,3.440264,1.595691,,,,,0.951268,,3.347051,3.044031
L4,2.651732,,,2.479237,1.993827,9.818077,0.519847,1.730576,0.672158,,,0.100000,,,,,4.739547,0.100000,0.145513,0.100000,,,,,,0.100000,,,,3.153098,7.982509,0.102234,,,,0.202628,0.100000,,,,,,3.178005,,,,,,,,,5.084140,,,,
L5,,,,2.402135,0.871862,,,5.218426,2.125315,1.361591,1.396347,10.000000,,,,,0.784095,0.100000,2.776369,,,,,,5.085663,2.284548,2.357223,,0.338443,1.146319,6.086267,1.701868,,2.996515,0.384391,1.219912,2.126030,9.897388,4.669346,,3.599428,1.353830,3.441642,,3.769997,,,,0.154247,1.618186,3.325678,5.631719,,0.100000,,
Mi1,,0.147487,1.766572,0.117212,3.015730,,,0.124688,1.308510,3.603550,0.420671,1.757451,1.170403,1.583372,1.487255,1.479340,10.000000,2.995513,1.429222,,,,,,2.292665,2.249994,3.810420,5.246094,3.224624,6.376502,4.656549,2.803263,0.504214,,2.664544,2.805931,0.100000,0.100000,0.583724,,10.000000,0.130299,0.100000,,,10.000000,,2.961676,1.011675,5.339282,1.888869,3.528209,4.824183,3.496464,3.401407,1.425635
Tm3,,,,0.100073,1.546170,,,,1.439483,2.559309,3.594750,0.100000,2.198029,1.504519,1.019712,0.537289,,,0.300280,,,0.954439,,0.964029,,1.673579,0.851983,5.543874,0.100000,3.461553,3.583104,0.100183,,,1.419649,7.397993,2.128498,,,3.463571,,,0.100000,,,,0.971261,,3.096211,3.382027,0.590567,2.348123,,3.417461,,
