cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.014625,16.817770,2.106411,1.134577,-2.971853,-21.875738,15.138336,210.858368,190.820999,0.000000,16.718649,16.817770,19.867384,3.049614
1,R7,1.044319,-0.086375,2.106411,2.322188,-0.078397,-24.865414,24.302523,201.678268,185.379929,1.000000,-0.078397,-0.086375,0.506239,0.592614
2,R8,1.039236,8.384213,2.106411,1.801269,-1.179679,-23.392836,10.000000,187.771454,215.199966,0.524183,8.341813,8.384213,10.629526,2.245313
3,L1,1.016871,-7.096366,2.106411,3.844234,2.023701,-27.120899,16.732698,212.039368,204.333450,0.000000,-7.126047,-7.096366,-9.996266,-2.899900
4,L2,1.012974,-1.579826,2.106411,1.579982,1.564898,-26.511789,18.589676,213.470398,203.556351,0.499700,-1.340764,-1.579826,-4.961138,-3.381312
5,L3,1.044378,-20.150301,2.106411,2.394528,-3.053869,-22.583828,22.042252,189.976273,195.574722,0.173331,-19.783831,-20.150301,-20.593958,-0.443657
6,L4,0.996156,3.881758,2.106411,1.043931,-0.676560,-24.556026,16.462597,212.164413,194.307312,0.000495,3.982775,3.881758,3.119961,-0.761796
7,L5,0.974081,23.195812,2.106411,1.603952,0.717205,-25.902742,17.393707,203.239014,203.914658,0.329531,22.997631,23.195812,20.674452,-2.521360
8,Mi1,1.009379,-61.279655,2.106411,2.554296,-1.484842,-23.918247,15.018713,198.850082,214.822815,0.264629,-62.281532,-61.279655,-51.916134,9.363522
9,Tm3,1.006144,-33.517078,2.106411,2.824435,0.595146,-25.280573,18.021322,192.195999,205.317261,0.000000,-35.377369,-33.517078,-24.905880,8.611198
10,Mi4,1.002789,-3.515135,2.106411,3.734990,-2.618156,-22.596453,98.020805,228.944565,186.741898,0.993567,-2.903686,-3.515135,-4.349088,-0.833952
11,Mi9,1.026702,11.127855,2.106411,3.670874,4.268735,-29.250568,10.000000,188.276962,220.168976,0.056107,10.971078,11.127855,11.426221,0.298366
12,T4a,1.000000,-21.695807,2.106411,5.564661,-3.378146,-21.872375,17.187382,199.893997,197.519409,0.000000,-22.744312,-21.695807,-19.943802,1.752005
13,T4b,1.000000,-24.276068,2.106411,0.100000,-4.333759,-20.164906,16.271919,210.368027,205.584122,0.000000,-25.348814,-24.276068,-21.947783,2.328285
14,T4c,1.000000,-3.411438,2.106411,0.100000,-3.849869,-21.536066,10.000000,178.856384,195.108612,1.000000,-3.849869,-3.411438,-0.964050,2.447388
15,T4d,1.000000,-17.322937,2.106411,2.103733,0.058612,-25.150972,10.471215,201.229996,195.348679,0.000000,-17.809124,-17.322937,-15.304498,2.018439
16,Tm1,0.990168,55.751606,2.106411,2.056579,-0.505357,-24.242310,18.933222,198.712372,203.640198,0.195649,56.496899,55.751606,46.245831,-9.505775
17,Tm2,0.960986,66.143021,2.106411,1.779035,0.016723,-24.590857,19.036037,212.784729,203.566147,0.000000,67.083694,66.143021,59.040482,-7.102539
18,Tm4,1.012748,-0.452816,2.106411,1.876121,0.082437,-25.190125,10.891533,220.893616,190.623672,1.000000,0.082437,-0.452816,-3.478508,-3.025692
19,Tm9,1.022655,2.925232,2.106411,5.208885,0.874288,-26.378447,10.579493,194.417282,207.042603,0.791778,3.154886,2.925232,1.967273,-0.957959
20,T5a,1.036551,85.407364,2.106411,3.654006,-2.570982,-22.027567,14.432901,217.639328,188.489594,0.293534,85.588455,85.407364,78.209106,-7.198257
21,T5b,1.036789,60.175240,2.106411,3.902546,4.656290,-29.469868,10.000000,203.349152,193.584503,0.005188,60.031498,60.175240,57.094181,-3.081059
22,T5c,0.990604,14.437583,2.106411,1.388238,0.513190,-25.111031,10.000000,193.893982,212.321014,0.468802,14.405493,14.437583,12.701065,-1.736518
23,T5d,1.022529,-0.622381,2.106411,0.625677,-0.896548,-24.180592,12.303698,204.461472,200.992310,0.876203,-0.618472,-0.622381,-0.946118,-0.323738
24,T1,1.041553,5.656411,2.106411,0.775400,1.052613,-26.464642,17.019484,210.596115,201.745255,0.181427,6.260121,5.656411,3.877355,-1.779055
25,T2,1.039409,-3.025913,2.106411,0.371603,-3.151613,-21.503798,11.669884,206.892044,192.494064,0.000000,-3.881461,-3.025913,-2.334168,0.691744
26,T2a,0.992414,-2.105832,2.106411,0.377161,-1.449072,-23.667173,11.485082,204.016632,203.020279,0.583016,-1.008095,-2.105832,-1.370503,0.735329
27,T3,0.959786,0.299927,2.106411,1.492913,-2.883012,-21.876951,15.557693,195.307281,197.504074,0.000000,-2.438181,0.299927,6.555434,6.255507
28,C2,0.964764,-59.712860,2.106411,1.402078,-3.659331,-21.216986,17.730440,213.745026,196.407761,0.000000,-60.508835,-59.712860,-52.674938,7.037922
29,C3,1.027418,-17.062305,2.106411,2.228679,-0.098706,-25.286160,34.673973,209.498169,192.481781,0.075637,-18.108084,-17.062305,-11.538096,5.524209
30,Lawf1,0.957770,1.281923,2.106411,1.498279,-0.058727,-24.653454,15.153463,210.538132,209.851578,0.378232,0.755613,1.281923,2.570638,1.288715
31,Lawf2,0.954922,1.341988,2.106411,2.220655,1.266931,-25.983173,10.423876,212.324799,189.021637,1.000000,1.266931,1.341988,2.129723,0.787734
32,Dm3v,0.970984,42.737453,2.106411,2.592939,-6.866175,-22.623240,10.706923,203.438293,200.251755,0.000000,41.787838,42.737453,39.598999,-3.138454
33,Lai,1.048966,1.385375,2.106411,3.089758,1.292022,-27.263147,14.992035,203.394928,195.179688,0.974887,1.308795,1.385375,-0.814604,-2.199978
34,Mi10,1.007562,-11.353714,2.106411,5.993911,4.881495,-30.082203,10.000000,201.489655,213.292709,0.607807,-11.257628,-11.353714,-12.116218,-0.762504
35,Mi13,0.973754,-4.181893,2.106411,0.398763,-3.504276,-21.653070,10.000000,195.484650,208.541718,0.976672,-3.873107,-4.181893,-1.274228,2.907666
36,Mi14,0.999105,1.087905,2.106411,4.037840,-0.762843,-24.215858,10.000000,202.826019,233.766068,1.000000,-0.762843,1.087905,8.015711,6.927806
37,Mi15,1.041009,-17.865597,2.106411,8.660613,3.387038,-28.086075,10.000000,213.957657,187.040726,0.001942,-17.770042,-17.865597,-16.787943,1.077654
38,Mi2,0.995984,8.945057,2.106411,3.405908,3.093130,-27.734642,10.000000,165.308350,206.357010,0.666407,8.985515,8.945057,7.605137,-1.339920
39,Tm16,1.044163,-40.528114,2.106411,0.344200,-1.186515,-23.750582,10.231685,195.686462,194.405518,0.000000,-33.458748,-40.528114,-39.176502,1.351612
40,Tm20,1.011686,-3.566895,2.106411,5.171014,-0.582010,-24.659252,15.491462,221.028839,186.199707,0.725987,-3.168458,-3.566895,-5.442358,-1.875463
41,Tm21,1.017653,64.012367,2.106411,8.955362,-0.530387,-32.352680,25.939926,220.347733,186.889755,1.000000,-0.530387,64.012367,57.810799,-6.201569
42,Tm27,0.987871,3.280157,2.106411,5.152277,-0.368882,-24.961876,10.483010,231.053864,165.853973,0.508543,3.393610,3.280157,5.319825,2.039668
43,Tm5a,1.004172,1.331029,2.106411,3.224049,1.702923,-26.811007,10.000000,188.729736,219.816544,0.616043,1.384381,1.331029,0.779811,-0.551218
44,Tm5b,1.031635,-1.198203,2.106411,7.404282,2.594829,-28.053354,21.895723,208.330002,197.861618,0.000000,-1.807831,-1.198203,-1.055522,0.142681
45,Tm5c,1.024270,-3.840110,2.106411,0.113173,-3.929207,-21.560766,10.000000,183.941605,215.827332,0.943167,-3.837866,-3.840110,-4.092820,-0.252710
46,Tm5f,1.017768,15.736649,2.106411,2.379000,-1.639495,-23.403164,11.429853,192.411545,203.282623,0.042684,16.061968,15.736649,14.235567,-1.501081
47,TmY10,1.048753,-0.524661,2.106411,0.653811,-0.526373,-24.727924,10.000000,211.222305,182.291718,1.000000,-0.526373,-0.524661,-0.632891,-0.108229
48,TmY11,0.958519,-96.258728,2.106411,3.149059,-1.454361,-23.216196,19.358208,207.731232,179.255402,0.000202,-96.662743,-96.258728,-96.196198,0.062531
49,TmY14,0.970633,57.827084,2.106411,4.612842,2.280160,-27.732666,10.000000,173.888824,230.026596,0.448300,54.108250,57.827084,44.284092,-13.542992
50,TmY15,0.984302,20.835863,2.106411,3.579263,1.119460,-27.094118,26.502098,196.056732,196.741760,0.000000,21.937084,20.835863,24.379190,3.543327
