,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.979755,,,1.248411,0.764415,1.397157,2.984439,,,,,,,,,,,,,,,,,,0.100000,,,,3.786847,5.023650,,,,1.177273,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.100000,2.876703,,2.740558,,,0.598928,,0.606987,0.575193,,,,,,,,,,,,,,,,,,0.139132,1.608109,,,0.492068,1.459650,,,6.290913,1.029890,,2.563234,,4.159238,1.500105,0.100000,2.151551,0.730217,,,,,,,,,
R8,,8.790061,0.501551,1.388838,0.100000,3.436803,,8.624243,0.611157,,7.154569,0.100000,,,,,,,,,,,,,3.017121,,,,0.681311,4.636989,0.100000,0.136887,,,0.100000,,0.105906,2.027038,0.100200,,9.931431,9.569654,,,5.514153,1.862701,,0.880589,,1.595104,,,,,0.988102,
L1,5.022978,4.290405,2.421307,1.001789,0.301745,10.000000,1.640260,0.179354,4.072320,2.891520,2.499103,,,,,,2.205052,2.906542,,,,,,,0.536411,3.416710,0.868122,,7.189833,1.573224,,0.195747,,2.978037,,,,3.612112,3.427099,,,,0.100000,,,,,,,,,0.100000,,,,
L2,0.307689,,4.294547,4.049581,1.493657,2.400892,3.000426,0.100000,3.847657,0.100000,1.473209,8.005242,,,,,4.185751,4.749654,1.221152,,,,,,0.627919,3.626987,10.000000,,0.111033,2.060136,,,,0.100000,,3.369926,0.100000,,4.136352,,4.960116,,,,9.480803,,,,,,,0.755504,,,,
L3,,7.628485,9.078946,4.263674,4.041708,,,,1.288683,,0.100000,1.285010,,,,,0.400482,0.100000,1.465785,8.186287,,,,,9.976398,,,,0.344240,0.782638,4.360512,,0.100000,,0.231428,8.954302,,1.779877,2.666112,0.404130,3.631413,1.025637,0.100000,8.685584,4.666910,2.303720,10.000000,3.176352,,,,,1.012363,,0.100000,0.567619
L4,0.100000,,,4.526146,1.628093,9.076084,2.927254,5.810589,0.985736,,,0.455017,,,,,2.264115,1.305479,0.920460,1.050596,,,,,,0.160400,,,,5.685993,4.555152,2.795099,,,,2.429149,0.700833,,,,,,4.272526,,,,,,,,,0.180849,,,,
L5,,,,1.977845,2.145766,,,1.012269,0.909801,0.563264,0.207329,6.448619,,,,,2.268902,0.101436,1.285494,,,,,,2.100821,0.381710,1.679610,,0.100000,0.100000,0.100827,2.931549,,2.389475,0.100000,2.116923,3.130635,2.909293,0.136379,,8.404020,6.695733,3.068844,,8.634972,,,,2.869375,6.878622,1.698626,2.001373,,0.671217,,
Mi1,,1.103109,0.156465,0.115463,1.233483,,,0.780953,0.100000,3.790626,0.104801,10.000000,1.591798,2.397021,3.596060,2.024318,4.561849,3.216513,0.213367,,,,,,1.009697,3.638088,2.215631,3.821481,0.416442,7.916991,0.147922,9.454831,0.100000,,10.000000,2.156440,0.234630,10.000000,0.250005,,9.941414,10.000000,2.296357,,,10.000000,,2.702888,1.022198,0.100000,0.100000,0.343497,2.790163,1.168718,1.407478,10.000000
Tm3,,,,0.100000,3.855290,,,,3.811857,2.874583,1.493619,1.371893,2.970081,2.854661,1.858349,2.142061,,,0.100000,,,0.970449,,1.015794,,0.600669,1.022358,4.532604,0.339257,0.100000,10.000000,2.164669,,,0.100000,0.100000,10.000000,,,0.806050,,,5.748191,,,,3.101420,,3.529068,0.100000,2.339047,0.143429,,5.578996,,
